Gambit Esports;1;0;RoX;PRE MSI
INTZ eSports;0;2;Vivo Keyd;PRE MSI
CNB e-Sports Club;0;2;KaBuM! e-Sports;PRE MSI
paiN Gaming;2;0;Team oNe eSports;PRE MSI
Red Canids;2;1;ProGaming eSports;PRE MSI
Red Canids;2;0;CNB e-Sports Club;PRE MSI
Team oNe eSports;2;1;INTZ eSports;PRE MSI
Vivo Keyd;0;2;ProGaming eSports;PRE MSI
KaBuM! e-Sports;2;1;paiN Gaming;PRE MSI
CNB e-Sports Club;2;1;paiN Gaming;PRE MSI
Team oNe eSports;0;2;Vivo Keyd;PRE MSI
KaBuM! e-Sports;2;0;Red Canids;PRE MSI
ProGaming eSports;2;0;INTZ eSports;PRE MSI
Vivo Keyd;2;1;paiN Gaming;PRE MSI
KaBuM! e-Sports;2;1;ProGaming eSports;PRE MSI
Team oNe eSports;0;2;Red Canids;PRE MSI
INTZ eSports;2;0;CNB e-Sports Club;PRE MSI
KaBuM! e-Sports;2;0;Team oNe eSports;PRE MSI
Vivo Keyd;0;2;Red Canids;PRE MSI
INTZ eSports;2;1;paiN Gaming;PRE MSI
ProGaming eSports;1;2;CNB e-Sports Club;PRE MSI
Red Canids;2;1;INTZ eSports;PRE MSI
paiN Gaming;1;2;ProGaming eSports;PRE MSI
CNB e-Sports Club;2;0;Team oNe eSports;PRE MSI
Vivo Keyd;2;0;KaBuM! e-Sports;PRE MSI
ProGaming eSports;0;2;Team oNe eSports;PRE MSI
CNB e-Sports Club;2;0;Vivo Keyd;PRE MSI
INTZ eSports;0;2;KaBuM! e-Sports;PRE MSI
paiN Gaming;0;2;Red Canids;PRE MSI
OpTic Gaming Academy;0;1;Team Liquid Academy;PRE MSI
FlyQuest Academy;1;0;TSM Academy;PRE MSI
CLG Academy;0;1;100 Thieves Academy;PRE MSI
Golden Guardians Academy;0;1;Cloud9 Academy;PRE MSI
Echo Fox Academy;1;0;Clutch Gaming Academy;PRE MSI
Team Liquid Academy;1;0;TSM Academy;PRE MSI
100 Thieves Academy;0;1;OpTic Gaming Academy;PRE MSI
Clutch Gaming Academy;1;0;Golden Guardians Academy;PRE MSI
Echo Fox Academy;1;0;FlyQuest Academy;PRE MSI
CLG Academy;0;1;Cloud9 Academy;PRE MSI
Echo Fox Academy;1;0;TSM Academy;PRE MSI
Cloud9 Academy;1;0;100 Thieves Academy;PRE MSI
OpTic Gaming Academy;0;1;FlyQuest Academy;PRE MSI
Golden Guardians Academy;1;0;CLG Academy;PRE MSI
Team Liquid Academy;0;1;Clutch Gaming Academy;PRE MSI
Clutch Gaming Academy;0;1;CLG Academy;PRE MSI
TSM Academy;1;0;OpTic Gaming Academy;PRE MSI
Cloud9 Academy;1;0;Echo Fox Academy;PRE MSI
Team Liquid Academy;1;0;100 Thieves Academy;PRE MSI
Golden Guardians Academy;0;1;FlyQuest Academy;PRE MSI
Echo Fox Academy;0;1;OpTic Gaming Academy;PRE MSI
TSM Academy;1;0;100 Thieves Academy;PRE MSI
Golden Guardians Academy;0;1;Team Liquid Academy;PRE MSI
Clutch Gaming Academy;1;0;Cloud9 Academy;PRE MSI
CLG Academy;0;1;FlyQuest Academy;PRE MSI
Echo Fox Academy;1;0;CLG Academy;PRE MSI
Cloud9 Academy;1;0;OpTic Gaming Academy;PRE MSI
Clutch Gaming Academy;0;1;100 Thieves Academy;PRE MSI
FlyQuest Academy;0;1;Team Liquid Academy;PRE MSI
TSM Academy;1;0;Golden Guardians Academy;PRE MSI
FlyQuest Academy;1;0;Cloud9 Academy;PRE MSI
Golden Guardians Academy;0;1;100 Thieves Academy;PRE MSI
TSM Academy;0;1;CLG Academy;PRE MSI
Echo Fox Academy;0;1;Team Liquid Academy;PRE MSI
OpTic Gaming Academy;0;1;Clutch Gaming Academy;PRE MSI
TSM Academy;1;0;Clutch Gaming Academy;PRE MSI
Cloud9 Academy;1;0;Team Liquid Academy;PRE MSI
OpTic Gaming Academy;1;0;CLG Academy;PRE MSI
100 Thieves Academy;0;1;FlyQuest Academy;PRE MSI
Golden Guardians Academy;1;0;Echo Fox Academy;PRE MSI
Clutch Gaming Academy;0;1;TSM Academy;PRE MSI
100 Thieves Academy;1;0;CLG Academy;PRE MSI
FlyQuest Academy;1;0;OpTic Gaming Academy;PRE MSI
Echo Fox Academy;0;1;Cloud9 Academy;PRE MSI
Team Liquid Academy;1;0;Golden Guardians Academy;PRE MSI
OpTic Gaming Academy;1;0;Golden Guardians Academy;PRE MSI
Cloud9 Academy;0;1;TSM Academy;PRE MSI
Clutch Gaming Academy;0;1;FlyQuest Academy;PRE MSI
100 Thieves Academy;0;1;Echo Fox Academy;PRE MSI
Team Liquid Academy;0;1;CLG Academy;PRE MSI
FlyQuest Academy;1;0;100 Thieves Academy;PRE MSI
OpTic Gaming Academy;1;0;TSM Academy;PRE MSI
Clutch Gaming Academy;0;1;Cloud9 Academy;PRE MSI
Echo Fox Academy;0;1;Team Liquid Academy;PRE MSI
CLG Academy;1;0;Golden Guardians Academy;PRE MSI
CLG Academy;0;1;Clutch Gaming Academy;PRE MSI
TSM Academy;0;1;Echo Fox Academy;PRE MSI
Team Liquid Academy;1;0;FlyQuest Academy;PRE MSI
100 Thieves Academy;0;1;Cloud9 Academy;PRE MSI
